time,wx (rad/s),wy (rad/s),wz (rad/s)
6.975,-0.02,-0.00,-0.00
6.979,-0.01,0.00,-0.00
6.979,-0.02,-0.00,-0.00
6.985,-0.01,-0.00,-0.00
6.985,-0.01,-0.00,-0.00
6.989,-0.01,-0.00,-0.00
6.989,-0.01,-0.00,-0.00
6.994,-0.01,-0.00,-0.00
6.994,-0.01,-0.00,0.00
6.998,-0.00,-0.01,0.00
6.998,-0.00,-0.01,0.00
7.006,-0.01,-0.00,0.00
7.006,-0.00,-0.00,0.00
7.018,-0.01,-0.00,0.00
7.018,-0.01,-0.00,0.00
7.019,-0.01,0.00,0.00
7.019,-0.01,-0.00,0.00
7.019,-0.01,0.00,0.00
7.019,-0.01,0.00,0.00
7.023,-0.01,-0.01,-0.00
7.023,-0.01,-0.00,-0.00
7.027,-0.01,-0.01,0.00
7.028,-0.01,-0.00,0.00
7.032,-0.01,-0.01,0.00
7.033,-0.01,-0.01,0.00
7.038,-0.01,-0.01,0.00
7.039,-0.01,-0.01,0.01
7.043,-0.00,-0.01,0.01
7.043,-0.00,-0.00,0.01
7.047,-0.00,-0.00,0.01
7.047,-0.01,-0.01,0.01
7.053,-0.01,-0.00,0.01
7.054,-0.01,-0.01,0.01
7.058,-0.01,-0.01,0.01
7.058,-0.01,-0.01,0.01
7.063,-0.00,-0.01,0.01
7.063,-0.01,-0.01,0.01
7.067,-0.01,-0.01,0.01
7.067,-0.00,-0.01,0.00
7.073,-0.01,-0.01,0.00
7.073,-0.00,-0.01,0.00
7.078,-0.01,-0.01,0.00
7.079,-0.00,-0.01,-0.00
7.082,-0.00,-0.01,0.00
7.082,-0.01,-0.01,-0.00
7.087,-0.00,-0.01,-0.00
7.088,-0.00,-0.01,-0.00
7.091,-0.00,-0.01,-0.00
7.091,-0.00,-0.01,-0.00
7.095,-0.01,-0.01,-0.00
7.095,-0.01,-0.00,-0.00
7.101,-0.00,-0.00,-0.00
7.101,-0.00,0.00,-0.00
7.106,-0.01,0.01,-0.00
7.107,-0.01,0.01,-0.00
7.111,-0.00,0.00,-0.00
7.111,-0.00,-0.00,-0.00
7.115,-0.00,-0.00,-0.00
7.115,-0.00,-0.01,-0.00
7.121,-0.01,-0.01,-0.00
7.121,-0.00,-0.01,-0.00
7.125,-0.01,-0.01,-0.00
7.125,-0.01,-0.01,-0.00
7.131,-0.01,0.00,0.00
7.131,-0.02,0.01,0.00
7.135,-0.03,0.01,0.00
7.135,-0.03,0.02,0.00
7.145,-0.04,0.02,0.00
7.145,-0.04,0.02,0.00
7.145,-0.05,0.02,0.01
7.146,-0.05,0.02,0.00
7.150,-0.04,0.01,0.00
7.150,-0.04,0.00,0.00
7.154,-0.03,-0.01,0.00
7.155,-0.02,-0.01,0.00
7.159,-0.01,-0.01,0.00
7.160,-0.00,-0.01,0.01
7.164,0.01,-0.01,0.00
7.164,0.02,-0.00,0.01
7.169,0.02,-0.00,0.01
7.170,0.02,0.01,0.01
7.174,0.03,0.00,0.01
7.174,0.03,0.00,0.01
7.179,0.03,-0.00,0.01
7.179,0.03,-0.00,0.01
7.183,0.03,-0.01,0.00
7.183,0.02,-0.01,0.00
7.189,0.02,-0.01,-0.00
7.190,0.02,-0.01,-0.00
7.194,0.01,-0.01,-0.00
7.194,0.01,-0.01,-0.00
7.200,0.00,-0.01,-0.00
7.200,0.00,-0.00,-0.00
7.203,0.00,-0.00,-0.00
7.204,0.00,0.00,-0.00
7.208,-0.00,0.00,-0.00
7.208,-0.00,0.00,0.00
7.213,-0.00,0.00,0.00
7.213,-0.00,0.00,0.00
7.218,-0.00,-0.00,0.00
7.218,-0.00,-0.00,0.00
7.223,-0.00,-0.00,0.01
7.223,-0.00,-0.00,0.00
7.227,-0.00,-0.01,0.01
7.227,-0.00,-0.01,0.00
7.232,-0.00,-0.01,0.01
7.233,-0.01,-0.01,0.01
7.237,-0.01,-0.01,0.01
7.238,-0.01,-0.01,0.01
7.243,-0.01,-0.01,0.01
7.244,-0.01,-0.01,0.01
7.247,-0.02,-0.00,0.01
7.247,-0.02,-0.01,0.01
7.251,-0.02,-0.01,0.01
7.252,-0.02,-0.01,0.01
7.257,-0.02,-0.00,0.01
7.257,-0.02,-0.00,0.01
7.262,-0.02,-0.01,0.01
7.262,-0.02,-0.01,0.01
7.267,-0.01,-0.01,0.01
7.268,-0.01,-0.01,0.01
7.272,-0.00,-0.01,0.01
7.273,-0.00,-0.01,0.01
7.279,0.00,-0.01,0.00
7.279,0.01,-0.01,0.00
7.281,0.01,-0.01,0.00
7.281,0.01,-0.01,0.00
7.286,0.01,-0.01,0.00
7.286,0.01,-0.01,0.00
7.291,0.01,-0.01,0.00
7.292,0.00,-0.01,0.00
7.295,0.00,-0.01,-0.00
7.296,0.00,-0.01,-0.00
7.301,0.00,-0.01,-0.00
7.301,-0.00,-0.01,-0.00
7.306,-0.00,-0.01,-0.00
7.306,-0.01,-0.01,-0.00
7.310,-0.00,-0.00,-0.01
7.311,-0.01,0.00,-0.00
7.315,-0.01,0.00,-0.00
7.316,-0.01,0.01,-0.00
7.320,-0.01,0.01,-0.00
7.320,-0.01,0.00,-0.00
7.326,-0.01,0.01,-0.00
7.326,-0.01,0.01,-0.00
7.330,-0.01,0.00,-0.00
7.330,-0.01,0.00,-0.00
7.335,-0.01,0.00,-0.00
7.335,-0.00,0.00,0.00
7.340,-0.00,-0.00,0.00
7.340,-0.00,-0.00,0.00
7.345,-0.00,-0.00,0.00
7.345,-0.00,-0.00,0.00
7.350,0.00,-0.01,0.00
7.350,0.00,-0.01,0.00
7.354,0.00,-0.01,0.00
7.355,0.00,-0.01,0.00
7.359,0.00,-0.00,0.00
